epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9057,1.69749,3.30222,1.70865,0.00789,0.74119,0.32074,0.20341,1.87137,3.42134,1.64445,8.574e-05,8.574e-05,8.574e-05
2,37.9376,1.53686,3.06544,1.57802,0.00915,0.82927,0.30985,0.23635,1.67253,3.32755,1.44507,0.000181172,0.000181172,0.000181172
3,55.8944,1.39349,2.69313,1.47962,0.0089,0.8374,0.35753,0.26051,1.53196,3.17655,1.34753,0.000271653,0.000271653,0.000271653
4,72.0048,1.44439,2.47226,1.44549,0.73461,0.18113,0.40799,0.29633,1.50943,2.84126,1.38848,0.000357182,0.000357182,0.000357182
5,87.3967,1.33307,2.19464,1.36469,0.40178,0.26919,0.30438,0.2226,1.5625,2.68781,1.41017,0.00043776,0.00043776,0.00043776
6,102.452,1.3571,2.09033,1.38286,0.7623,0.23691,0.53423,0.37229,1.53253,2.68631,1.30132,0.000513386,0.000513386,0.000513386
7,118.109,1.33666,2.07977,1.34698,0.71257,0.184,0.51296,0.34845,1.6085,2.73807,1.33592,0.000584061,0.000584061,0.000584061
8,132.708,1.34362,1.98876,1.39159,0.58591,0.61762,0.51712,0.35192,1.68709,2.47341,1.45078,0.000649784,0.000649784,0.000649784
9,147.271,1.25694,1.89021,1.28832,0.58646,0.64201,0.5821,0.40054,1.60689,2.4613,1.43394,0.000710556,0.000710556,0.000710556
10,161.483,1.2667,1.85255,1.31094,0.6355,0.54119,0.54751,0.34143,1.56152,2.36997,1.4805,0.000766376,0.000766376,0.000766376
11,175.437,1.20123,1.68174,1.26107,0.70544,0.44201,0.55233,0.35938,1.61399,2.37393,1.51885,0.000817245,0.000817245,0.000817245
12,189.033,1.20281,1.74106,1.278,0.75729,0.41062,0.56569,0.40349,1.51965,2.55755,1.44761,0.000863162,0.000863162,0.000863162
13,202.647,1.11548,1.64113,1.22958,0.66991,0.42652,0.57182,0.41882,1.39931,2.66636,1.32131,0.000904128,0.000904128,0.000904128
14,217.009,1.2393,1.63017,1.27106,0.66991,0.42652,0.57182,0.41882,1.39931,2.66636,1.32131,0.000940143,0.000940143,0.000940143
15,231.741,1.18582,1.61745,1.26873,0.58619,0.41457,0.49526,0.36424,1.41116,2.41895,1.34663,0.000933851,0.000933851,0.000933851
16,246.141,1.16965,1.61488,1.28549,0.82511,0.40478,0.52955,0.37496,1.45937,2.16075,1.34261,0.000898484,0.000898484,0.000898484
17,260.138,1.08568,1.53315,1.21158,0.48269,0.51318,0.58198,0.42104,1.49984,2.31137,1.34783,0.000863116,0.000863116,0.000863116
18,274.37,1.16261,1.63578,1.27851,0.54621,0.58118,0.62498,0.49208,1.45842,2.0168,1.33401,0.000827748,0.000827748,0.000827748
19,288.483,1.12193,1.46147,1.21419,0.63629,0.56143,0.63151,0.52398,1.44415,2.03132,1.3436,0.00079238,0.00079238,0.00079238
20,302.376,1.14184,1.50886,1.24888,0.53194,0.60215,0.63477,0.48966,1.4656,2.15285,1.34937,0.000757013,0.000757013,0.000757013
21,316.155,1.14834,1.46043,1.24151,0.75598,0.42575,0.60064,0.46861,1.48518,2.18427,1.3877,0.000721645,0.000721645,0.000721645
22,330.369,1.12732,1.41795,1.23453,0.75598,0.42575,0.60064,0.46861,1.48518,2.18427,1.3877,0.000686277,0.000686277,0.000686277
23,354.554,1.0756,1.39861,1.17834,0.55172,0.52493,0.5998,0.46218,1.46557,1.95691,1.33943,0.000650909,0.000650909,0.000650909
24,386.367,1.14567,1.42212,1.22071,0.82932,0.50867,0.62992,0.48514,1.50085,1.95894,1.34373,0.000615542,0.000615542,0.000615542
