epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.07757,1.66187,3.07623,1.746,0.35296,0.42197,0.2364,0.14063,1.78083,5.27223,1.64278,0.0002858,0.0002858,0.0002858
2,17.7555,1.55483,2.57,1.60766,0.41921,0.37917,0.1641,0.08988,1.87647,10.2158,1.72518,0.000578156,0.000578156,0.000578156
3,26.3003,1.57453,2.31558,1.57943,0.08565,0.2072,0.071,0.0381,1.96416,7.42441,2.01249,0.00086259,0.00086259,0.00086259
4,35.0172,1.66821,2.29549,1.71081,0.35238,0.25417,0.214,0.14555,1.90019,20.2889,2.2161,0.0011391,0.0011391,0.0011391
5,43.6982,1.68038,2.31898,1.71928,0.08463,0.44122,0.04848,0.01531,2.17706,9.88554,2.38084,0.00135355,0.00135355,0.00135355
6,52.4236,1.7298,2.31281,1.7255,0.45503,0.14167,0.13692,0.07716,2.08612,13.1372,2.25366,0.00133469,0.00133469,0.00133469
7,61.2378,1.6836,2.25009,1.7327,0.26656,0.40303,0.19524,0.05026,2.34566,8.46429,2.39248,0.00131582,0.00131582,0.00131582
8,69.9639,1.63798,2.10276,1.65931,0.28656,0.471,0.18966,0.05966,1.89571,8.38048,1.95979,0.00129696,0.00129696,0.00129696
9,78.7916,1.63896,2.01825,1.64318,0.28324,0.41515,0.21056,0.13054,1.74319,6.70347,1.77427,0.0012781,0.0012781,0.0012781
10,87.8259,1.56969,1.94944,1.59664,0.1323,0.27159,0.1582,0.07961,1.8888,7.64387,1.97906,0.00125923,0.00125923,0.00125923
11,96.912,1.52323,1.91899,1.57145,0.4772,0.28489,0.20177,0.11134,1.82588,4.65657,1.76374,0.00124037,0.00124037,0.00124037
12,106.057,1.4987,1.87543,1.56454,0.36776,0.37462,0.32089,0.15478,1.91999,2.75478,1.77009,0.00122151,0.00122151,0.00122151
13,115.226,1.51572,1.88534,1.57885,0.4057,0.49201,0.31806,0.14514,1.9675,2.71601,1.81503,0.00120265,0.00120265,0.00120265
14,124.402,1.51563,1.83661,1.59483,0.35575,0.52579,0.37266,0.20597,1.69449,3.00608,1.61084,0.00118378,0.00118378,0.00118378
15,133.821,1.45788,1.7774,1.53027,0.25491,0.50973,0.26475,0.14565,1.6512,2.81503,1.57496,0.00116492,0.00116492,0.00116492
