epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4754,1.69749,3.30222,1.70865,0.00789,0.74119,0.32074,0.20341,1.87137,3.42134,1.64445,8.574e-05,8.574e-05,8.574e-05
2,33.0932,1.53675,3.06535,1.57762,0.00908,0.82927,0.30856,0.23907,1.67165,3.32541,1.44262,0.00018159,0.00018159,0.00018159
3,48.6195,1.39378,2.69267,1.47867,0.00898,0.8374,0.36219,0.25584,1.55226,3.17011,1.36608,0.000272939,0.000272939,0.000272939
4,66.4256,1.44261,2.46624,1.44596,0.69297,0.17571,0.43643,0.32292,1.52701,2.84504,1.39407,0.000359786,0.000359786,0.000359786
5,82.7676,1.32844,2.20134,1.36033,0.34051,0.3458,0.30972,0.21501,1.51304,2.70412,1.32642,0.000442133,0.000442133,0.000442133
6,100.409,1.36176,2.08193,1.37832,0.7214,0.27234,0.53817,0.37659,1.63591,2.71577,1.3653,0.000519977,0.000519977,0.000519977
7,116.14,1.36974,2.08491,1.36275,0.64407,0.27636,0.53889,0.35275,1.67166,2.77301,1.38508,0.000593321,0.000593321,0.000593321
8,130.647,1.30123,1.978,1.35794,0.40757,0.67615,0.49069,0.36512,1.76957,2.56519,1.50808,0.000662163,0.000662163,0.000662163
9,144.626,1.29469,1.89107,1.2937,0.39577,0.68238,0.48968,0.38153,1.62288,2.42307,1.41026,0.000726504,0.000726504,0.000726504
10,158.948,1.27846,1.86959,1.29879,0.71584,0.45053,0.53305,0.38429,1.54035,2.228,1.36389,0.000786343,0.000786343,0.000786343
11,173.237,1.21588,1.69686,1.26356,0.61445,0.42575,0.47004,0.24636,1.80207,2.49846,1.60642,0.000841681,0.000841681,0.000841681
12,189.072,1.24283,1.76223,1.28527,0.69279,0.40949,0.4528,0.26297,1.79743,2.68262,1.64613,0.000892518,0.000892518,0.000892518
13,212.156,1.14717,1.64729,1.26482,0.86896,0.34444,0.57483,0.32188,1.75845,2.99819,1.65937,0.000938853,0.000938853,0.000938853
14,227.615,1.26736,1.66179,1.28972,0.86896,0.34444,0.57483,0.32188,1.75845,2.99819,1.65937,0.000980687,0.000980687,0.000980687
15,243.347,1.18283,1.66521,1.28833,0.83019,0.43287,0.61934,0.35409,1.76678,2.63437,1.69074,0.000978865,0.000978865,0.000978865
16,259.237,1.1961,1.59885,1.30383,0.72639,0.5552,0.65018,0.4355,1.6169,2.25919,1.44894,0.000946712,0.000946712,0.000946712
17,275.871,1.07847,1.50055,1.20652,0.76894,0.51038,0.67194,0.50251,1.49858,2.0681,1.34918,0.00091456,0.00091456,0.00091456
18,312.548,1.16176,1.58897,1.27946,0.52143,0.67431,0.62718,0.45778,1.49824,2.03048,1.34615,0.000882407,0.000882407,0.000882407
19,354.644,1.11172,1.47372,1.22462,0.51887,0.72493,0.6515,0.46973,1.50905,2.01741,1.33656,0.000850255,0.000850255,0.000850255
20,404.01,1.15878,1.48175,1.26313,0.70568,0.57314,0.65367,0.46117,1.51405,2.04181,1.3596,0.000818102,0.000818102,0.000818102
21,418.345,1.14754,1.45881,1.24694,0.7408,0.57534,0.67265,0.45788,1.60889,1.94522,1.40962,0.00078595,0.00078595,0.00078595
22,433.367,1.12053,1.41357,1.22249,0.7408,0.57534,0.67265,0.45788,1.60889,1.94522,1.40962,0.000753797,0.000753797,0.000753797
23,447.822,1.10968,1.40234,1.20073,0.81096,0.56721,0.69201,0.47297,1.63004,1.83139,1.4533,0.000721645,0.000721645,0.000721645
24,464.094,1.16789,1.45142,1.22465,0.74949,0.61683,0.69698,0.49878,1.58712,1.81392,1.41315,0.000689493,0.000689493,0.000689493
25,500.854,1.06823,1.36951,1.1914,0.72829,0.73111,0.71249,0.5674,1.44413,1.75229,1.35563,0.00065734,0.00065734,0.00065734
26,555.209,1.04527,1.33675,1.18803,0.79696,0.72195,0.76541,0.59991,1.37549,1.69877,1.3013,0.000625187,0.000625187,0.000625187
27,581.366,1.07521,1.36958,1.19306,0.87397,0.78862,0.81162,0.62635,1.39041,1.56978,1.27507,0.000593035,0.000593035,0.000593035
28,630.428,1.07047,1.3041,1.19285,0.82342,0.8202,0.84976,0.63599,1.41594,1.55362,1.26995,0.000560882,0.000560882,0.000560882
29,661.812,1.00904,1.29023,1.16464,0.80124,0.82114,0.84445,0.63452,1.42748,1.53513,1.25728,0.00052873,0.00052873,0.00052873
30,680.04,0.96216,1.23811,1.1446,0.80124,0.82114,0.84445,0.63452,1.42748,1.53513,1.25728,0.000496578,0.000496578,0.000496578
31,697.423,1.08307,1.79118,1.28627,0.89253,0.78049,0.84198,0.6646,1.41447,1.51591,1.26619,0.000464425,0.000464425,0.000464425
32,714.569,1.04063,1.61971,1.19912,0.87651,0.75621,0.80833,0.649,1.40929,1.58156,1.26776,0.000432272,0.000432272,0.000432272
33,751.972,1.03702,1.59073,1.24265,0.83469,0.7168,0.78565,0.64953,1.43363,1.65371,1.30663,0.00040012,0.00040012,0.00040012
34,779.841,1.06141,1.55412,1.25844,0.83168,0.70903,0.75832,0.64309,1.44594,1.63727,1.33161,0.000367968,0.000367968,0.000367968
35,796.452,0.96979,1.46172,1.20717,0.85506,0.7168,0.79738,0.66541,1.36649,1.59202,1.29513,0.000335815,0.000335815,0.000335815
36,830.93,0.96785,1.5067,1.1996,0.88038,0.70867,0.80378,0.65238,1.34666,1.52673,1.27215,0.000303663,0.000303663,0.000303663
37,892.764,0.95365,1.42457,1.20225,0.7038,0.81301,0.81323,0.644,1.33457,1.49222,1.25776,0.00027151,0.00027151,0.00027151
38,913.251,0.94361,1.39194,1.17651,0.7038,0.81301,0.81323,0.644,1.33457,1.49222,1.25776,0.000239357,0.000239357,0.000239357
39,929.65,0.92884,1.35626,1.16162,0.68236,0.85227,0.80686,0.64982,1.33253,1.45083,1.23722,0.000207205,0.000207205,0.000207205
40,945.889,0.94175,1.3447,1.17722,0.68274,0.83799,0.81767,0.65431,1.3237,1.43148,1.23449,0.000175053,0.000175053,0.000175053
